id;series;shot;year;mon;day;time;site;lat;lon;hob;gzalt;type;purpose;yield_min;yield_max;yield_kt;crater;warhead;sponsor
1001;Pokhran I;Pokhran I;1974;MAY;18;02:34:55.0;'POK;27.09500;71.75200;-107;;UG-S;;12;15;12;95;;
1002;Shakti-98;Shakti I;1998;MAY;11;10:13:41.8;'POK;27.07160;71.76120;-200;;UG-S;;40;46;43;80;;
1003;Shakti-98;Shakti II;1998;MAY;11;10:13:41.8;'POK;27.07200;71.76100;-150;;UG-S;;12;;12;;;
1004;Shakti-98;Shakti III;1998;MAY;11;10:13:41.8;'POK;27.07200;71.76100;;;UG;;0,2;;0,2;;;
1005;Shakti-98;Shakti IV;1998;MAY;13;06:51;'POK;27.10000;71.80000;-20;;UG;;0,5;;0,5;4;;
1006;Shakti-98;Shakti V;1998;MAY;13;06:51;'POK;27.10000;71.80000;;;UG;;0,3;;0,3;;;
2001;Chagai;Chagai-I;1998;MAY;28;10:16:15.2;'CHA;28.79190;64.94750;;;UG-T;;30;35;32;;;
2002;Chagai;Chagai-I;1998;MAY;28;10:16:15.2;'CHA;28.79190;64.94750;;;UG-T;;;;1;;;
2003;Chagai;Chagai-I;1998;MAY;28;10:16:15.2;'CHA;28.79190;64.94750;;;UG-T;;;;1;;;
2004;Chagai;Chagai-I;1998;MAY;28;10:16:15.2;'CHA;28.79190;64.94750;;;UG-T;;;;1;;;
2005;Chagai;Chagai-I;1998;MAY;28;10:16:15.2;'CHA;28.79190;64.94750;;;UG-T;;;;1;;;
2006;Chagai;Chagai-II;1998;MAY;30;06:54:54.9;'CHA;28.49000;63.73000;-36;;UG-S;;15;18;;;;
2007;Chagai;Chagai-II;1998;MAY;30;06:54:54.9;'CHA;28.49000;63.73000;;;UG-S;;;;;;;
3001;;;1979;SEP;22;00:53;'-SATL;-46.36000;37.57000;;;A;;;;3;;;
4001;;;2006;OCT;9;01:35:27;';41.29;129.09;;;UG;;0,2;4;0,5;;;
4002;;;2009;MAY;25;00:54:43;';41.306;129.029;;;UG;;;;4;;;
