id;series;shot;year;mon;day;time;site;lat;lon;hob;gzalt;type;purpose;yield_min;yield_max;yield_kt;crater;warhead;sponsor
1;;596;1964;OCT;16;07:00;'LN;42.35000;88.30000;102;;AS-T;;20;22;22;;NGB;
2;;;1965;MAY;14;02:00;'LN;41.50000;88.50000;500;;A-AD;;20;40;35;;NGB;
3;;;1966;MAY;9;08:00;'LN;41.50000;88.50000;;;A-AD;;200;300;250;;;
4;;;1966;OCT;27;01:10;'LN;41.50000;88.50000;569;;A-R;;12;30;12;;DF-2 wh;
5;;;1966;DEC;28;04:00;'LN;41.50000;88.50000;102;;AS-T;;300;500;300;;;
6;;;1967;JUN;17;00:19:08.20;'LN-D;40.74400;89.77500;2960;;A-AD;;3000;3300;3300;;NGB/DF-3 wh;
7;;;1967;DEC;24;04:00;'LN;41.50000;88.50000;;;A-AD;;15;25;20;;;
8;;;1968;DEC;27;07:30;'LN;41.50000;88.50000;;;A-AD;;3000;;3000;;NGB/DF-3 wh;
9;;;1969;SEP;22;16:14:59.21;'LN-B;41.37600;88.31800;;;UG-T;;20;25;19,2;;;
10;;;1969;SEP;29;08:40:12.36;'LN-D;40.72200;89.51500;;;A-AD;;3000;;3000;;NGB/DF-3 wh;
11;;;1970;OCT;14;07:29:56.91;'LN-D;40.52000;89.77900;;;A-AD;;3000;3400;3400;;NGB/DF-3 wh;
12;;;1971;NOV;18;06:00;'LN;41.50000;88.50000;;;AS-T;;15;20;20;;;
13;;;1972;JAN;7;07:00;'LN;41.50000;88.50000;;;A-AD;;8;20;8;;tactical NW?;?
14;;;1972;MAR;18;06:00;'LN;41.50000;88.50000;;;A-AD;;100;200;170;;;
15;;;1973;JUN;27;03:59:46.29;'LN-D;40.79850;89.80910;;;A-AD;;2000;3000;3000;;NGB/DF-3 wh;
16;;;1974;JUN;17;05:59:52.72;'LN-D;40.51800;89.61900;;;A;;200;1000;1000;;BM wh?;
17;;;1975;OCT;27;00:59:58.23;'LN-B;41.37500;88.32600;;;UG-T;;0;10;2,5;;;
18;;;1976;JAN;23;06:00;'LN;41.50000;88.50000;;;A;;0;20;;;;
19;;;1976;SEP;26;06:00;'LN;41.50000;88.50000;;;A;;200;;200;;;
20;;;1976;OCT;17;04:59:58.80;'LN-A;41.70800;88.37000;;;UG-T;;10;20;2,6;;;
21;;;1976;NOV;17;06:00:12.70;'LN-D;40.69600;89.62700;;;A-AD;;4000;;4000;;DF-5 wh?;
22;;;1977;SEP;17;07:00;'LN;41.50000;88.50000;;;A;;0;20;;;;
23;;;1978;MAR;15;05:00;'LN;41.50000;88.50000;;;A;;6;20;11;;;
24;;;1978;OCT;14;00:59:58.01;'LN-C;41.52300;88.72200;;;UG-S;;0;20;3,4;;;
25;;;1978;DEC;14;;'LN;41.50000;88.50000;;;A;;0;20;;;;
26;;X;1979;FEB;2;;'LN;41.50000;88.50000;;;UG;;0;20;1;;;
27;;;1979;SEP;13;;'LN;41.50000;88.50000;;;UG;;0;20;;;;
28;;;1980;OCT;16;04:30:29.67;'LN-D;40.71900;89.65100;;;A;;200;1000;1000;;BM wh?;
29;;;1982;OCT;5;;'LN;41.50000;88.50000;;;UG;;3;15;7;;;
30;;;1983;MAY;4;04:59:57.82;'LN-A;41.67900;88.36800;;;UG-T;;1;;1;;;
31;;;1983;OCT;6;09:59:58.05;'LN-C;41.53800;88.71400;;;UG-S;;20;100;;;;
32;;;1984;OCT;3;05:59:57.99;'LN-C;41.57130;88.72160;;;UG-S;;15;70;;;;
33;;;1984;DEC;19;05:59:58.34;'LN-A;41.73700;88.42500;;;UG-T;;5;50;15;;;
34;;;1987;JUN;5;04:59:58.26;'LN-C;41.51800;88.71300;;;UG-S;;250;400;250;;JL-1 wh?;
35;;;1988;SEP;29;06:59:57.97;'LN-A;41.76800;88.38000;;;UG-T;;1;20;3;;tactical ERW?;W?
36;;;1990;MAY;26;07:59:57.94;'LN-C;41.56900;88.70100;;;UG-S;;15;65;;;;
37;;;1990;AUG;16;04:59:57.70;'LN-C;41.51400;88.73900;;;UG-S;;50;200;189;;JL-1 wh?;
38;;;1992;MAY;21;04:59:57.45;'LN-C;41.51300;88.77400;;;UG-S;;660;1000;660;;BM wh?;
39;;;1992;SEP;25;07:59:58.47;'LN-A;41.71600;88.33600;;;UG-T;;5;20;8;;;
40;;X;1992;NOV;2;;'LN;41.50000;88.50000;;;UG;;0,001;20;1;;;
41;;;1993;OCT;5;01:59:56.6;'LN-C;41.66700;88.69500;;;UG-S;;40;80;80;;DF-31 wh?;
42;;;1994;JUN;10;06:25:57.9;'LN-C;41.53000;88.71000;;;UG-S?;;40;50;90;;DF-31 wh?;
43;;;1994;OCT;7;03:25:58.1;'LN-C;41.66000;88.75000;;;UG-S;;40;50;90;;DF-31 wh?;
44;;;1995;MAY;15;04:05:57.8;'LN-C;41.60000;88.82000;;;UG-S;;40;150;95;;DF-31 wh?;
45;;;1995;AUG;17;00:59:57.7;'LN-C;41.56000;88.80000;;;UG-S?;;60;80;90;;DF-31 wh?;
46;;S;1996;JUN;8;02:55:57.9;'LN-C;41.66000;88.69000;;;UG-S?;;20;80;50;;;
47;;SS;1996;JUN;8;02:55:57.9;'LN-C;41.66000;88.69000;;;UG-S?;;;;;;;
48;;;1996;JUL;29;01:48:57.8;'LN-A;41.82000;88.42000;;;UG-T?;;1;5;3;;;
