id;series;shot;year;mon;day;time;site;lat;lon;hob;gzalt;type;purpose;yield_min;yield_max;yield_kt;crater;warhead;sponsor
1;Hurricane;Hurricane;1952;OCT;3;00:59:24;'MB;-20.39700;115.55840;-2,7;-12;AW-BG;WE;25;;25;270;;
2;Totem;Totem T1;1953;OCT;14;21:30;'SAU-EF;-28.69850;132.37160;31;300;AS-T;WR;10;;10;;Blue Danube?;e?
3;Totem;Totem T2;1953;OCT;26;21:30;'SAU-EF;-28.71230;132.37730;31;310;AS-T;WR;8;;8;;Blue Danube?;e?
4;Mosaic;Mosaic G1;1956;MAY;16;03:50;'MB;-20.38190;115.54790;31;4;AS-T;WR?;15;;15;;;
5;Mosaic;Mosaic G2;1956;JUN;19;02:14;'MB;-20.40610;115.53610;31;8;AS-T;;60;;98;;;
6;Buffalo;Buffalo R1/One Tree;1956;SEP;27;07:30;'SAU-MR;-29.86880;131.65940;31;180;AS-T;;15;;15;;Red Beard;
7;Buffalo;Buffalo R2/Marcoo;1956;OCT;4;07:00;'SAU-MR;-29.88180;131.62470;0,2;180;AS;WE;1,5;;1,5;50;Blue Danube;e
8;Buffalo;Buffalo R3/Kite;1956;OCT;11;05:57;'SAU-MR;-29.88800;131.65000;150;180;A-AD;WR;3;;3;;Blue Danube;e
9;Buffalo;Buffalo R4/Breakaway;1956;OCT;22;14:35;'SAU-MR;-29.89290;131.60480;31;190;AS-T;;10;;10;;Red Beard;
10;Grapple;Grapple 1/Short Granite;1957;MAY;15;19:37;'LI-MI;-4.05000;-154.90000;2400;;A-AD;WR?;300;1;300;;;
11;Grapple;Grapple 2/Orange Herald;1957;MAY;31;19:41;'LI-MI;-4.05000;-154.90000;2300;;A-AD;WR?;720;1;720;;;
12;Grapple;Grapple 3/Purple Granit;1957;JUN;19;19:40;'LI-MI;-4.05000;-154.90000;2300;;A-AD;WR?;200;;200;;;
13;Antler;Antler Round 1/Tadje;1957;SEP;14;05:05;'SAU-MR;-29.88980;131.64670;31;180;AS-T;WR?;1;0,;0,93;;;
14;Antler;Antler Round 2/Biak;1957;SEP;25;00:30;'SAU-MR;-29.89260;131.61760;31;180;AS-T;WR?;6;;6;;;
15;Antler;Antler Round 3/Taranaki;1957;OCT;9;06:45;'SAU-MR;-29.89480;131.59160;300;180;A-B;WR?;25;26;26,6;;;
16;Grapple X;Grapple X/Round C;1957;NOV;8;17:47;'LI-CH;1.67000;-157.25000;2250;;A-AD;WR;1800;3;1800;;;
17;Grapple Y;Grapple Y;1958;APR;28;19:05;'LI-CH;1.67000;-157.25000;2350;;A-AD;WR;3000;20;3000;;;
18;Grapple Z;Grapple Z/Pennant 2;1958;AUG;22;18:00;'LI-CH;1.67000;-157.25000;450;;A-B;WR;24;;24;;;
19;Grapple Z;Grapple Z/Flagpole 1;1958;SEP;2;17:24;'LI-CH;1.67000;-157.25000;2850;;A-AD;WR;1000;27;1000;;;
20;Grapple Z;Grapple Z/Halliard 1;1958;SEP;11;17:49;'LI-CH;1.67000;-157.25000;2650;;A-AD;WR;800;27;800;;;
21;Grapple Z;Grapple Z/Burgee 2;1958;SEP;23;18:00;'LI-CH;1.67000;-157.25000;450;;A-B;WR;25;;25;;;
22;Nougat;Pampas;1962;MAR;1;19:10:00.09;'NTS-YF;37.04128;-116.02867;-363,14;1196;UG-S;;9,5;;9,5;198;;
23;Storax;Tendrac;1962;DEC;7;19:00:00.10;'NTS-YF;37.05175;-116.02931;-302,67;1202;UG-S;;0;20;10;155;;
24;Whetstone;Cormorant;1964;JUL;17;17:18:30.03;'NTS-YF;37.01761;-116.02956;-271,64;1184;UG-S;;0;20;2;;;
25;Whetstone;Courser;1964;SEP;25;17:02:00.03;'NTS-YF;37.07247;-116.01539;-358,99;1237;UG-S;;0;;0;;;
26;Flintlock;Charcoal;1965;SEP;10;17:12:00.03;'NTS-YF;37.07797;-116.01672;-455,44;1245;UG-S;WR;20;200;29;298;Polaris WH?;?
27;Arbor;Fallon;1974;MAY;23;13:38:30.164;'NTS-YF;37.12449;-116.07888;-466,04;1276;UG-S;WR;20;200;20;190;Chevaline WH?;WH?
28;Anvil;Banon;1976;AUG;26;14:30:00.168;'NTS-YF;37.12501;-116.08200;-536,4;1275;UG-S;WR;20;150;51;230;Chevaline WH?;WH?
29;Cresset;Fondutta;1978;APR;11;15:30:00.161;'NTS-PM;37.29963;-116.32670;-633,07;2072;UG-S;WR;20;150;67;;Chevaline WH?;WH?
30;Quicksilver;Quargel;1978;NOV;18;19:00:00.166;'NTS-YF;37.12687;-116.08387;-542;1275;UG-S;;20;150;38;190;;
31;Quicksilver;Nessel;1979;AUG;29;15:08:00.171;'NTS-YF;37.12122;-116.06659;-464;1260;UG-S;;20;150;20;190;;
32;Tinderbox;Colwick;1980;APR;26;17:00:00.083;'NTS-PM;37.24843;-116.42240;-633;1946;UG-S;;20;150  1;140;;;
33;Guardian;Dutchess;1980;OCT;24;19:15:00.116;'NTS-YF;37.07458;-115.99926;-426,72;1265;UG-S;;0;20;10;;;
34;Guardian;Serpa;1980;DEC;17;15:10:00.086;'NTS-PM;37.32478;-116.31173;-572,7;2028;UG-S;;20;150;35;;;
35;Praetorian;Rousanne;1981;NOV;12;15:00:00.10;'NTS-YF;37.10815;-116.04898;-517,2;1243;UG-S;;20;150;77;250;;
36;Praetorian;Gibne;1982;APR;25;18:05:00.008;'NTS-PM;37.25584;-116.42236;-570;1937;UG-S;;20;150;89;;;
37;Phalanx;Armada;1983;APR;22;13:53:00.085;'NTS-YF;37.11150;-116.02240;-265;1296;UG-S;;0;20;1,5;;;
38;Fusileer;Mundo;1984;MAY;1;19:05:00.093;'NTS-YF;37.10622;-116.02238;-566;1292;UG-S;WR?;20;150;77;;Trident WH?;?
39;Grenadier;Egmont;1984;DEC;9;19:40:00.089;'NTS-PM;37.27008;-116.49758;-546;1839;UG-S;WR?;20;150  1;103;;Trident WH?;?
40;Charioteer;Kinibito;1985;DEC;5;15:00:00.067;'NTS-YF;37.05327;-116.04537;-579,42;1208;UG-S;WR?;20;150  1;110;;Trident WH?;?
41;Charioteer;Darwin;1986;JUN;25;20:27:45.092;'NTS-PM;37.26459;-116.49931;-548,95;1849;UG-S;WR;20;150;89;;Trident WH;
42;Musketeer;Midland;1987;JUL;16;19:00:00.077;'NTS-YF;37.10355;-116.02335;-486,77;1284;UG-S;;20;150;20;;;
43;Aqueduct;Barnwell;1989;DEC;8;15:00:00.087;'NTS-PM;37.23109;-116.40939;-600,8;2031;UG-S;WR?;20;150  1;120;;Trident WH?;?
44;Sculpin;Houston;1990;NOV;14;19:17:00.071;'NTS-PM;37.22742;-116.37124;-594,4;2031;UG-S;WR?;20;150  1;103;;Trident WH?;?
45;Julin;Bristol;1991;NOV;26;18:35:00.073;'NTS-YF;37.09649;-116.06961;-457;1246;UG-S;WR?;0;20;11;;;
