id;series;shot;year;mon;day;time;site;lat;lon;hob;gzalt;type;purpose;yield_min;yield_max;yield_kt;crater;warhead;sponsor
1;Trinity;Trinity;1945;JUL;16;11:29:21.0;'NM;33.67530;-106.47470;30;;AS-T;WR;21;;21;152;Fat Man;LANL
2;Alberta;Little Boy;1945;AUG;5;23:16:02.0;'-JP;34.39140;132.45810;580;;A-AD;C;15;;15;;Little Boy;DOD
3;Alberta;Fat Man;1945;AUG;9;01:58:00.0;'-JP;32.77020;129.86570;503;;A-AD;C;21;;21;;Mk-3;DOD
4;Crossroads;Able;1946;JUN;30;21:01:00.0;'BK;11.58000;165.50000;158;;A-AD;WE;21;;21;;Mk-3A;LANL
5;Crossroads;Baker;1946;JUL;24;21:34:59.8;'BK;11.58330;165.50000;-27;;UW;WE;21;;21;550;Mk-3A;LANL
6;Sandstone;X-ray;1948;APR;14;18:16:59.0;'EN;11.67000;162.24000;60;;AS-T;WR;37;;37;55;Mk-3;LANL
7;Sandstone;Yoke;1948;APR;30;18:08:59.0;'EN;11.62000;162.33000;60;;AS-T;WR;49;;49;;Mk-3;LANL
8;Sandstone;Zebra;1948;MAY;14;18:04:00.0;'EN;11.56000;162.35000;60;;AS-T;WR;18;;18;;Mk-3;LANL
9;Ranger;Able;1951;JAN;27;13:44:51.0;'NTS-FF;36.80000;-115.95000;320;;A-AD;WR;1;;1;;Mk-4;LANL
10;Ranger;Baker;1951;JAN;28;13:52:04.5;'NTS-FF;36.80000;-115.95000;330;;A-AD;WR;8;;8;;Mk-4;LANL
11;Ranger;Easy;1951;FEB;1;13:46:39.5;'NTS-FF;36.80000;-115.95000;330;;A-AD;WR;1;;1;;Mk-4;LANL
12;Ranger;Baker-2;1951;FEB;2;13:48:48.0;'NTS-FF;36.80000;-115.95000;340;;A-AD;WR;8;;8;;Mk-4;LANL
13;Ranger;Fox;1951;FEB;6;13:46:55.0;'NTS-FF;36.80000;-115.95000;440;;A-AD;WR;22;;22;;Mk-6;LANL
14;Greenhouse;Dog;1951;APR;7;17:33:57.8;'EN;11.55580;162.35440;91;;AS-T;WR;81;;81;238;Mk-6D;LANL
15;Greenhouse;Easy;1951;APR;20;17:27:00.1;'EN;11.66890;162.24030;91;;AS-T;WR;47;;47;255;TX-5D;LANL
16;Greenhouse;George;1951;MAY;8;20:30:00.7;'EN;11.62690;162.31470;62;;AS-T;WR;225;;225;347;;LANL
17;Greenhouse;Item;1951;MAY;24;17:16:59.3;'EN;11.67300;162.24860;62;;AS-T;WR;45,5;;45,5;;;LANL
18;Buster;Able;1951;OCT;22;14:00:00.0;'NTS-YF;37.08390;-116.02390;30;;AS-T;WR;0;0,1;0,05;;;LANL
19;Buster;Baker;1951;OCT;28;15:20:08.9;'NTS-YF;37.08500;-116.02000;340;;A-AD;WR;3,5;;3,5;;Mk-4;LANL
20;Buster;Charlie;1951;OCT;30;15:00:29.8;'NTS-YF;37.08500;-116.02030;350;;A-AD;WR;14;;14;;Mk-4;LANL
21;Buster;Dog;1951;NOV;1;15:30:01.6;'NTS-YF;37.08470;-116.01970;430;;A-AD;WR;21;;21;;Mk-4;LANL
22;Buster;Easy;1951;NOV;5;16:29:58.2;'NTS-YF;37.09190;-116.02440;400;;A-AD;WR;31;;31;;TX-7E;LANL
23;Jangle;Sugar;1951;NOV;19;16:59:59.7;'NTS-YF;37.13170;-116.03860;1,1;;AS;WE;1,2;;1,2;27;Mk-6;LANL
24;Jangle;Uncle;1951;NOV;29;19:59:59.7;'NTS-YF;37.16970;-116.04250;-10;1283;CR;WE;1,2;;1,2;79;;LANL
25;Tumbler;Able;1952;APR;1;17:00:07.5;'NTS-FF;36.79830;-115.93560;240;;A-AD;WE;1;;1;;Mk-4;LANL
26;Tumbler;Baker;1952;APR;15;17:29:57.1;'NTS-YF;37.08420;-116.01940;340;;A-AD;WE;1;;1;;Mk-4;LANL
27;Tumbler;Charlie;1952;APR;22;17:30:10.0;'NTS-YF;37.08440;-116.02030;1050;;A-AD;WR;31;;31;;Mk-4;LANL
28;Snapper;Dog;1952;MAY;1;16:29:59.1;'NTS-YF;37.08420;-116.02030;320;;A-AD;WR;19;;19;;TX-7;LANL
29;Snapper;Easy;1952;MAY;7;12:14:59.3;'NTS-YF;37.05310;-116.10560;90;;AS-T;WR;12;;12;;TX-12;LANL
30;Snapper;Fox;1952;MAY;25;11:59:59.6;'NTS-YF;37.09560;-116.10560;90;;AS-T;WR;11;;11;;Mk-5;LANL
31;Snapper;George;1952;JUN;1;11:54:59.8;'NTS-YF;37.04810;-116.02110;90;;AS-T;WR;15;;15;;Mk-5;LANL
32;Snapper;How;1952;JUN;5;11:55:00.3;'NTS-YF;37.13860;-116.11780;90;;AS-T;WR;14;;14;;TX-12;LANL
33;Ivy;Mike;1952;OCT;31;19:14:59.4;'EN;11.23720;162.19640;10;;AS;WR;10400;;10400;1902;;LANL
34;Ivy;King;1952;NOV;15;23:30:00.0;'EN;11.56220;162.35250;450;;A-AD;WR;500;;500;;Mk-18F;LANL
