id;series;shot;year;mon;day;time;site;lat;lon;hob;gzalt;type;purpose;yield_min;yield_max;yield_kt;crater;warhead;sponsor
229;1964;222;1964;MAR;15;08:00:00.4;'STS-D;49.82083;78.09861;;710;UG-T;WE;20;150;37;C;;
230;1964;223;1964;MAY;16;06:00:59.8;'STS-D;49.81778;78.09389;-260;698;UG-T;WR;20;150;23,7;C;;
231;1964;224;1964;JUN;6;;'STS-D;49.77472;77.98806;;700;UG-T;FS;0,001;20;1,6;;;
232;1964;225;1964;JUL;19;06:00:00.6;'STS-D;49.81500;78.09306;;695;UG-T;FS;20;150;26;;;
233;1964;226;1964;AUG;18;06:00:00.0;'STS-D;49.82056;78.08194;;700;UG-T;WR;0,001;20;0,07;;;
234;1964;227;1964;SEP;18;08:00:00.4;'NZ-NS;73.66700;54.53300;-130;;UG-T;FS;0,001;20;2;;;Ch-70
235;1964;228;1964;SEP;30;;'STS-D;49.82083;78.09861;;710;UG-T;FS;0,001;20;;;;
236;1964;229;1964;OCT;25;07:59:58.1;'NZ-NS;73.38700;54.98500;-400;;UG-T;PR;0,001;20;20;;;Ch-70
237;1964;230;1964;NOV;16;06:00:00.2;'STS-D;49.81389;78.13361;;730;UG-T;PR;20;150;47;C;;
238;1965;231 Chagan;1965;JAN;15;06:00:00.8;'STS-B;49.93500;79.00936;-178;;UG-S;I-EM;140;;140;415;;
239;1965;232;1965;FEB;4;06:00:00.0;'STS-D;49.77306;77.99139;-262;726;UG-T;FS;0,001;20;44;C;;
240;1965;233;1965;MAR;3;06:14:59.4;'STS-D;49.82972;78.05750;;625;UG-T;WR;0,001;20;27;;;
241;1965;234;1965;MAR;27;06:30:00.0;'STS-D;49.77472;77.98806;;700;UG-T;WR;0,001;20;0,06;;;
242;1965;235 Butan-1;1965;MAR;30;08:00:00.0;'-RU-BK;52.90000;56.50000;-1340;;UG-S;I-OS;2,3;;2,3;C;;
243;1965;235 Butan-2;1965;MAR;30;08:00:00;'-RU-BK;52.90000;56.50000;-1375;;UG-S;I-OS;2,3;;2,3;C;;
244;1965;236;1965;MAY;11;06:40:00.2;'STS-D;49.77306;77.99139;;726;UG-T;WR;0,001;20;14;;;
245;1965;237 Butan;1965;JUN;10;07:00:00.0;'-RU-BK;52.90000;56.50000;-1350;;UG-S;I-OS;7,6;;7,6;C;;
246;1965;238;1965;JUN;17;03:45:00.0;'STS-D;49.83056;78.05778;;630;UG-T;PR;0,001;20;24;C;;
247;1965;239;1965;JUL;29;03:05:00.2;'STS-D;49.78500;77.99694;;700;UG-T;FS;0,001;20;1,1;C;;
248;1965;240;1965;SEP;17;04:00:00.1;'STS-D;49.81722;78.14250;;685;UG-T;WR;0,001;20;15;C;;
249;1965;241;1965;OCT;8;06:00:00.4;'STS-D;49.83056;78.10139;;630;UG-T;WR;0,001;20;29;C;;
250;1965;242 Sary-Uzen;1965;OCT;14;04:00:00.2;'STS-SU;49.99064;77.63572;-48;;UG-S;I-EM;1,1;;1,1;130;;
251;1965;243;1965;NOV;21;04:58:00.0;'STS-D;49.82833;78.05972;;650;UG-T;WR;29;;29;C;;
252;1965;244;1965;DEC;24;05:00:00.2;'STS-D;49.81167;78.10750;;781;UG-T;PR;0,001;20;6,7;;;
253;1966;245;1966;FEB;13;04:58:00.1;'STS-D;49.81417;78.13083;-320;730;UG-T;PR;125;;125;C;;
254;1966;246;1966;MAR;20;05:50:00.3;'STS-D;49.75167;78.00833;-310;765;UG-T;WR;100;;100;C;;
255;1966;247;1966;APR;21;03:58:00.1;'STS-D;49.81778;78.09389;;698;UG-T;PR;0,001;20;22;C;;
256;1966;248 Galit;1966;APR;22;02:58:00.3;'-KZ-BA;47.82900;47.93500;-165;;UG-S;I-CV;1,1;;1,1;;;
257;1966;249;1966;MAY;7;03:58:00.2;'STS-D;49.73611;78.10722;;739;UG-T;PR;4;;4;C;;
